-4.07	3.464102	-2.0	#7d5735
-4.07	6.0	-0.0	#745f00
-4.07	5.196152	3.0	#4f6a1a
-4.07	3.0	5.196152	#006e3c
-4.07	0.0	6.0	#006d5c
-4.07	-3.0	5.196152	#006778
-4.07	-5.196152	3.0	#005c8b
-4.07	-6.0	0.0	#465190
-4.07	-5.196152	-3.0	#694887
-4.07	-3.0	-5.196152	#804272
-4.07	-0.0	-6.0	#8d4054
-4.07	3.0	-5.196152	#8f4434
-4.07	5.196152	-3.0	#874f16
-4.07	6.928203	4.0	#466a00
-4.07	4.0	6.928203	#006c26
-4.07	0.0	8.0	#006e59
-4.07	-4.0	6.928203	#006780
-4.07	-6.928203	4.0	#005a99
-4.07	-8.0	0.0	#414ba1
-4.07	-6.928203	-4.0	#6d3f95
-4.07	-4.0	-6.928203	#893678
-4.07	-0.0	-8.0	#97324f
-4.07	4.0	-6.928203	#973522
-4.07	6.928203	-4.0	#8f4400
-4.07	0.0	10.0	#006d54
-4.07	-5.0	8.660254	#006888
-4.07	-8.660254	5.0	#0057a7
-4.07	-10.0	0.0	#3d44b2
-4.07	-8.660254	-5.0	#7133a3
-4.07	-5.0	-8.660254	#90277d
-4.07	-0.0	-10.0	#9f1f4a
-4.07	5.0	-8.660254	#9d2109
-4.07	0.0	12.0	#006a4d
-4.07	-6.0	10.392305	#00678f
-4.07	-10.392305	6.0	#0053b6
-4.07	-12.0	0.0	#3d3bc3
-4.07	-10.392305	-6.0	#7624b0
-4.07	-6.0	-10.392305	#981083
-4.07	-0.0	-12.0	#a50044
-4.07	6.0	-10.392305	#a00000
-4.07	-7.0	12.124356	#006796
-4.07	-12.124356	7.0	#004ec4
-4.07	-14.0	0.0	#3f2ed4
-4.07	-12.124356	-7.0	#7b02bf
-4.07	-7.0	-12.124356	#9e0088
-4.07	-0.0	-14.0	#a9003e
-4.07	-13.856406	-8.0	#8000cd
-4.07	-8.0	-13.856406	#a4008e
-4.07	-0.0	-16.0	#ad0038
-4.07	-15.588457	-9.0	#8500dc
-4.07	-9.0	-15.588457	#aa0093
-4.07	-0.0	-18.0	#af0031
-4.07	-10.0	-17.320508	#af0098
-4.07	-11.0	-19.052559	#b4009d
-4.07	-12.0	-20.78461	#b800a2
-2.33	2.0	0.0	#7f7961
-2.33	1.732051	1.0	#737c65
-2.33	1.0	1.732051	#657e6d
-2.33	0.0	2.0	#5c7e77
-2.33	-1.0	1.732051	#5b7b80
-2.33	-1.732051	1.0	#627786
-2.33	-2.0	0.0	#6e7388
-2.33	-1.732051	-1.0	#7a7085
-2.33	-1.0	-1.732051	#856e7d
-2.33	-0.0	-2.0	#8b6e74
-2.33	1.0	-1.732051	#8c706a
-2.33	1.732051	-1.0	#887463
-2.33	4.0	-0.0	#87794a
-2.33	3.464102	2.0	#6e8152
-2.33	2.0	3.464102	#4e8463
-2.33	0.0	4.0	#328377
-2.33	-2.0	3.464102	#317e89
-2.33	-3.464102	2.0	#497796
-2.33	-4.0	0.0	#656f99
-2.33	-3.464102	-2.0	#7e6993
-2.33	-2.0	-3.464102	#916584
-2.33	-0.0	-4.0	#9b6571
-2.33	2.0	-3.464102	#9e685d
-2.33	3.464102	-2.0	#97704e
-2.33	6.0	-0.0	#8e792a
-2.33	5.196152	3.0	#688539
-2.33	3.0	5.196152	#288956
-2.33	0.0	6.0	#008776
-2.33	-3.0	5.196152	#008092
-2.33	-5.196152	3.0	#2576a5
-2.33	-6.0	0.0	#5d6baa
-2.33	-5.196152	-3.0	#8261a1
-2.33	-3.0	-5.196152	#9b5b8b
-2.33	-0.0	-6.0	#a95a6d
-2.33	3.0	-5.196152	#ac5e4e
-2.33	5.196152	-3.0	#a36934
-2.33	8.0	0.0	#947600
-2.33	6.928203	4.0	#61860d
-2.33	4.0	6.928203	#008b46
-2.33	0.0	8.0	#008a74
-2.33	-4.0	6.928203	#00829a
-2.33	-6.928203	4.0	#0074b3
-2.33	-8.0	0.0	#5765bb
-2.33	-6.928203	-4.0	#8558af
-2.33	-4.0	-6.928203	#a45091
-2.33	-0.0	-8.0	#b44d69
-2.33	4.0	-6.928203	#b6513d
-2.33	6.928203	-4.0	#ad6005
-2.33	8.660254	5.0	#588600
-2.33	5.0	8.660254	#00872d
-2.33	0.0	10.0	#008b70
-2.33	-5.0	8.660254	#0082a2
-2.33	-8.660254	5.0	#0071c2
-2.33	-10.0	0.0	#525ecc
-2.33	-8.660254	-5.0	#894fbd
-2.33	-5.0	-8.660254	#ad4497
-2.33	-0.0	-10.0	#be3d64
-2.33	5.0	-8.660254	#be4129
-2.33	0.0	12.0	#008a6b
-2.33	-6.0	10.392305	#0083aa
-2.33	-10.392305	6.0	#006ed0
-2.33	-12.0	0.0	#4f57dd
-2.33	-10.392305	-6.0	#8e43ca
-2.33	-6.0	-10.392305	#b4349d
-2.33	-0.0	-12.0	#c62a5f
-2.33	6.0	-10.392305	#c42c0f
-2.33	0.0	14.0	#008764
-2.33	-12.124356	7.0	#006adf
-2.33	-12.124356	-7.0	#9334d9
-2.33	-7.0	-12.124356	#bc1fa3
-2.33	-0.0	-14.0	#cc0359
-2.33	7.0	-12.124356	#c70500
-2.33	-8.0	-13.856406	#c200a8
-2.33	-0.0	-16.0	#d10053
-2.33	-9.0	-15.588457	#c900ae
-2.33	-0.0	-18.0	#d5004c
