zip	latitude	longitude
02155	42.4	-71.1
02156	42.4	-71.1
02163	42.3	-71.1
02169	42.2	-71.0
02170	42.3	-71.0
02171	42.3	-71.0
02176	42.5	-71.1
02180	42.5	-71.1
02184	42.2	-71.0
02185	42.2	-71.1
02186	42.3	-71.1
02187	42.3	-71.1
02188	42.2	-71.0
02189	42.2	-70.9
02190	42.2	-70.9
02191	42.2	-70.9
02196	42.4	-71.1
02199	42.3	-71.1
02201	42.4	-71.1
02203	42.4	-71.1
02204	42.3	-70.9
02205	42.4	-71.1
02206	42.3	-70.9
02210	42.3	-71.0
02211	42.4	-71.1
02212	42.4	-71.1
02215	42.3	-71.1
02217	42.3	-70.9
02222	42.4	-71.1
02238	42.4	-71.1
02241	42.4	-71.1
02266	42.4	-71.1
02269	42.3	-71.0
02283	42.3	-70.9
02284	42.3	-70.9
02293	42.4	-71.1
02297	42.4	-71.1
02298	42.4	-71.0
02301	42.1	-71.0
02302	42.1	-71.0
02303	42.1	-71.0
02304	42.1	-71.0
02305	42.1	-71.0
02322	42.1	-71.0
02324	42.0	-71.0
02325	42.0	-71.0
02327	42.0	-70.8
02330	41.9	-70.8
02331	42.0	-70.7
02332	42.0	-70.7
02333	42.0	-70.9
02334	42.0	-71.1
02337	42.0	-71.0
02338	42.0	-70.8
02339	42.1	-70.9
02340	42.1	-70.8
02341	42.1	-70.9
02343	42.1	-71.0
02344	41.9	-70.9
02345	41.9	-70.6
02346	41.9	-70.9
02347	41.8	-71.0
02348	41.8	-70.9
02349	41.9	-70.9
02350	42.0	-70.8
02351	42.1	-71.0
02355	41.9	-70.8
02356	42.1	-71.1
02357	42.1	-71.1
02358	42.1	-70.8
02359	42.1	-70.8
02360	41.9	-70.6
02361	42.0	-70.7
02362	42.0	-70.7
02364	42.0	-70.7
02366	41.9	-70.7
02367	42.0	-70.8
02368	42.2	-71.1
02370	42.1	-70.9
02375	42.0	-71.1
02379	42.0	-71.0
02381	41.9	-70.6
02382	42.1	-70.9
02420	42.5	-71.2
02421	42.4	-71.2
02445	42.3	-71.1
02446	42.3	-71.1
02447	42.3	-71.1
02451	42.4	-71.2
02452	42.4	-71.2
02453	42.4	-71.2
02454	42.4	-71.3
02455	42.4	-71.2
02456	42.4	-71.5
02457	42.3	-71.3
02458	42.4	-71.2
02459	42.3	-71.2
02460	42.4	-71.2
02461	42.3	-71.2
02462	42.3	-71.3
02464	42.3	-71.2
02465	42.3	-71.2
02466	42.3	-71.2
02467	42.3	-71.2
02468	42.3	-71.2
02471	42.4	-71.2
02472	42.4	-71.2
02474	42.4	-71.2
02475	42.4	-71.2
02476	42.4	-71.2
02477	42.4	-71.2
02478	42.4	-71.2
02479	42.4	-71.2
02481	42.3	-71.3
02482	42.3	-71.3
02492	42.3	-71.3
02493	42.4	-71.3
02494	42.3	-71.2
02495	42.4	-71.2
02532	41.7	-70.6
02534	41.7	-70.6
02535	41.4	-70.7
02536	41.6	-70.6
02537	41.7	-70.4
02538	41.8	-70.7
02539	41.4	-70.5
02540	41.6	-70.6
02541	41.6	-70.6
02542	41.7	-70.6
02543	41.5	-70.7
02552	41.4	-70.6
02553	41.7	-70.6
02554	41.3	-70.1
02556	41.6	-70.6
02557	41.5	-70.6
02558	41.7	-70.7
02559	41.7	-70.6
02561	41.8	-70.5
02562	41.8	-70.5
02563	41.7	-70.5
02564	41.3	-70.0
02568	41.5	-70.6
02571	41.8	-70.7
02574	41.6	-70.6
02575	41.4	-70.6
02576	41.8	-70.8
02584	41.3	-70.0
02601	41.7	-70.3
02630	41.7	-70.3
02631	41.7	-70.1
02632	41.7	-70.4
02633	41.7	-70.0
02634	41.6	-70.3
02635	41.6	-70.4
02637	41.7	-70.3
02638	41.7	-70.2
02639	41.7	-70.1
02641	41.7	-70.2
02642	41.8	-70.0
02643	41.8	-70.0
02644	41.7	-70.5
02645	41.7	-70.1
02646	41.7	-70.1
02647	41.6	-70.3
02648	41.7	-70.4
02649	41.6	-70.5
02650	41.7	-70.0
02651	41.8	-70.0
02652	42.0	-70.1
02653	41.8	-70.0
02655	41.6	-70.4
02657	42.1	-70.2
02659	41.7	-70.0
02660	41.7	-70.2
02661	41.7	-70.0
02662	41.8	-70.0
02663	41.9	-70.0
02664	41.7	-70.2
02666	42.0	-70.1
02667	41.9	-70.0
02668	41.7	-70.4
02669	41.7	-70.0
02670	41.7	-70.2
02671	41.7	-70.1
02672	41.6	-70.3
02673	41.7	-70.2
02675	41.7	-70.2
02702	41.8	-71.1
02703	41.9	-71.3
02712	41.9	-71.2
02713	41.4	-70.9
02714	41.8	-71.1
02715	41.8	-71.1
02717	41.8	-71.0
02718	41.9	-71.0
02719	41.6	-70.9
02720	41.7	-71.1
02721	41.7	-71.2
02722	41.7	-71.2
02723	41.7	-71.1
02724	41.7	-71.2
02725	41.7	-71.2
02726	41.8	-71.1
02738	41.7	-70.8
02739	41.7	-70.8
02740	41.6	-70.9
02741	41.6	-70.9
02742	41.6	-70.9
02743	41.7	-70.9
02744	41.6	-70.9
02745	41.7	-70.9
02746	41.7	-70.9
02747	41.6	-71.0
02748	41.6	-71.0
02760	42.0	-71.3
02761	42.0	-71.3
02762	42.0	-71.3
02763	42.0	-71.3
02764	41.9	-71.1
02766	42.0	-71.2
02767	41.9	-71.0
02768	41.8	-71.1
02769	41.9	-71.3
02770	41.8	-70.9
02771	41.8	-71.3
02777	41.7	-71.2
02779	41.8	-71.1
02780	41.9	-71.1
02783	41.8	-71.1
02790	41.6	-71.1
02791	41.5	-71.1
02801	41.5	-71.3
02802	42.0	-71.5
02804	41.4	-71.8
02806	41.7	-71.3
02807	41.2	-71.6
02808	41.4	-71.7
02809	41.7	-71.3
02812	41.5	-71.7
02813	41.4	-71.7
02814	41.9	-71.7
02815	41.8	-71.7
02816	41.7	-71.6
02817	41.6	-71.6
02818	41.6	-71.5
02822	41.6	-71.6
02823	41.7	-71.5
02824	42.0	-71.6
02825	41.8	-71.7
02826	42.0	-71.6
02827	41.7	-71.7
02828	41.9	-71.6
02829	41.9	-71.6
02830	42.0	-71.7
02831	41.8	-71.6
02832	41.5	-71.7
02833	41.5	-71.8
02835	41.5	-71.4
02836	41.4	-71.6
02837	41.5	-71.2
02838	42.0	-71.5
02839	41.9	-71.6
02840	41.5	-71.3
02841	41.5	-71.3
02842	41.5	-71.3
02852	41.6	-71.5
02857	41.8	-71.6
02858	42.0	-71.6
02859	42.0	-71.7
02860	41.9	-71.4
02861	41.9	-71.4
02862	41.9	-71.4
02863	41.9	-71.4
02864	41.9	-71.4
02865	41.9	-71.4
02871	41.6	-71.3
02872	41.7	-71.3
02873	41.5	-71.8
02874	41.5	-71.4
02875	41.5	-71.6
02876	42.0	-71.6
02877	41.5	-71.5
02878	41.6	-71.2
02879	41.4	-71.5
02880	41.4	-71.6
02881	41.5	-71.5
02882	41.4	-71.5
02883	41.5	-71.5
02885	41.7	-71.3
02886	41.7	-71.4
02887	41.7	-71.4
02888	41.7	-71.4
02889	41.7	-71.4
02891	41.4	-71.8
02892	41.5	-71.6
02893	41.7	-71.5
02894	41.5	-71.7
02895	42.0	-71.5
02896	42.0	-71.6
02898	41.5	-71.7
02901	41.8	-71.4
02902	41.8	-71.4
02903	41.8	-71.4
02904	41.9	-71.4
02905	41.8	-71.4
02906	41.8	-71.4
02907	41.8	-71.4
02908	41.8	-71.4
02909	41.8	-71.4
02910	41.8	-71.4
02911	41.9	-71.5
02912	41.8	-71.4
02914	41.8	-71.4
02915	41.8	-71.4
02916	41.8	-71.4
02917	41.9	-71.5
02918	41.8	-71.4
02919	41.8	-71.5
02920	41.8	-71.5
02921	41.8	-71.5
02940	41.8	-71.4
03031	42.9	-71.6
03032	43.0	-71.3
03033	42.7	-71.7
03034	43.1	-71.3
03036	43.0	-71.2
03037	43.1	-71.3
03038	42.9	-71.3
03040	43.0	-71.2
03041	42.9	-71.3
03042	43.0	-71.1
03043	43.0	-71.8
03044	43.0	-71.1
03045	43.0	-71.6
03046	43.1	-71.6
03047	42.9	-71.9
03048	42.7	-71.8
03049	42.7	-71.6
03051	42.8	-71.4
03052	42.8	-71.5
03053	42.9	-71.4
03054	42.9	-71.5
03055	42.8	-71.7
03057	42.9	-71.7
03060	42.8	-71.5
03061	42.8	-71.5
03062	42.7	-71.5
03063	42.8	-71.5
03064	42.8	-71.5
03070	43.0	-71.7
03071	42.8	-71.9
03073	42.8	-71.2
03076	42.7	-71.3
03077	43.0	-71.2
03079	42.8	-71.2
03082	42.9	-71.8
